	7331		2669	13				
10	7321							
10	7311			123	9963			
15	7296							
15	7281							
18	7263		9840					
21	7242							
21	7221							
22	7199							
22	7177							
22	7155							
23	7132							
24	7108							
25	7083							
26	7057							
27	7030							
27	7003							
28	6975							
29	6946							
29	6917							
31	6886							
32	6854							
33	6821							
33	6788							
33	6755							
34	6721							
34	6687							
38	6649							
38	6611							
41	6570							
44	6526							
45	6481							
48	6433							
49	6384							
49	6335							
50	6285							
51	6234							
51	6183							
52	6131							
53	6078							
56	6022							
58	5964							
59	5905							
60	5845							
62	5783							
63	5720							
63	5657							
64	5593							
65	5528							
66	5462							
66	5396							
67	5329							
67	5262							
67	5195							
68	5127							
68	5059							
68	4991							
68	4923							
68	4855							
68	4787							
69	4718							
69	4649							
71	4578							
71	4507							
71	4436							
72	4364							
73	4291							
73	4218							
74	4144							
75	4069							
75	3994							
76	3918							
79	3839							
79	3760							
80	3680							
81	3599							
81	3518							
83	3435							
84	3351							
84	3267							
85	3182							
86	3096							
89	3007							
90	2917							
91	2826							
93	2733							
93	2640							
97	2543							
99	2444							
99	2345							
100	2245							
101	2144							
101	2043							
102	1941							
102	1839							
102	1737							
103	1634							
104	1530							
104	1426							
105	1321							
105	1216							
108	1108							
113	995							
114	881							
116	765							
118	647							
121	526			9997				
121	405							
122	283							
123	160		35					
123	37		32					
125	-88		21					
127	-215		12					
127	-342		7					
128	-470		3					
128	-598							
128	-726							
130	-856							
131	-987							
134	-1121							
136	-1257							
136	-1393							
136	-1529							
137	-1666							
139	-1805							
139	-1944							
139	-2083							
140	-2223							
141	-2364							
141	-2505							
142	-2647							
142	-2789							
144	-2933							
144	-3077							
146	-3223							
146	-3369							
146	-3515							
147	-3662							
147	-3809							
147	-3956							
148	-4104							
150	-4254							
151	-4405							
151	-4556							
152	-4708							
153	-4861							
153	-5014							
155	-5169							
156	-5325							
156	-5481							
157	-5638							
161	-5799							
161	-5960							
161	-6121							
164	-6285							
166	-6451							
174	-6625							
175	-6800							
176	-6976							
177	-7153							
179	-7332							
180	-7512							
181	-7693							
182	-7875							
183	-8058							
183	-8241							
183	-8424							
184	-8608							
185	-8793							
188	-8981							
189	-9170							
189	-9359							
189	-9548							
191	-9739							
191	-9930							
192	-10122							
193	-10315							
193	-10508							
193	-10701							
194	-10895							
196	-11091							
196	-11287							
196	-11483							
211	-11694							
211	-11905							
212	-12117							
214	-12331							
216	-12547							
216	-12763							
216	-12979							
217	-13196							
217	-13413							
218	-13631							
219	-13850							
219	-14069							
222	-14291							
222	-14513							
223	-14736							
223	-14959							
223	-15182							
223	-15405							
224	-15629							
224	-15853							
225	-16078							
227	-16305							
227	-16532							
227	-16759							
228	-16987							
230	-17217							
231	-17448							
232	-17680							
234	-17914							
234	-18148							
235	-18383							
235	-18618							
236	-18854							
237	-19091							
238	-19329							
238	-19567							
239	-19806							
239	-20045							
240	-20285							
240	-20525							
241	-20766							
241	-21007							
241	-21248							
242	-21490							
242	-21732							
244	-21976							
244	-22220							
247	-22467							
247	-22714							
249	-22963							
249	-23212							
250	-23462							
251	-23713							
251	-23964							
252	-24216							
254	-24470							
254	-24724							
257	-24981							
258	-25239							
263	-25502							
263	-25765							
263	-26028							
265	-26293							
266	-26559							
267	-26826							
267	-27093							
268	-27361							
268	-27629							
270	-27899							
271	-28170							
271	-28441							
272	-28713							
273	-28986							
275	-29261							
276	-29537							
276	-29813							
277	-30090							
277	-30367							
278	-30645							
278	-30923							
280	-31203							
280	-31483							
282	-31765							
283	-32048							
284	-32332							
284	-32616							
285	-32901							
288	-33189							
289	-33478							
289	-33767							
291	-34058							
293	-34351							
295	-34646							
297	-34943							
297	-35240							
298	-35538							
299	-35837							
300	-36137							
303	-36440							
304	-36744							
307	-37051							
307	-37358							
307	-37665							
307	-37972							
308	-38280							
308	-38588							
308	-38896							
311	-39207							
312	-39519							
313	-39832							
314	-40146							
314	-40460							
316	-40776							
317	-41093							
318	-41411							
319	-41730							
320	-42050							
320	-42370							
320	-42690							
320	-43010							
320	-43330							
321	-43651							
321	-43972							
321	-44293							
321	-44614							
322	-44936							
322	-45258							
323	-45581							
324	-45905							
324	-46229							
324	-46553							
325	-46878							
325	-47203							
328	-47531							
329	-47860							
331	-48191							
333	-48524							
335	-48859							
335	-49194							
335	-49529							
337	-49866							
339	-50205							
340	-50545							
340	-50885							
343	-51228							
343	-51571							
345	-51916							
346	-52262							
346	-52608							
346	-52954							
348	-53302							
348	-53650							
352	-54002							
352	-54354							
353	-54707							
353	-55060							
353	-55413							
355	-55768							
359	-56127							
359	-56486							
360	-56846							
360	-57206							
362	-57568							
362	-57930							
363	-58293							
363	-58656							
364	-59020							
365	-59385							
367	-59752							
367	-60119							
368	-60487							
368	-60855							
369	-61224							
369	-61593							
370	-61963							
371	-62334							
372	-62706							
372	-63078							
373	-63451							
375	-63826							
375	-64201							
